lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; -0.000026 0.000077 0.289837 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.829406 ; 0.000000 ; -0.079657 0.144413 0.000000 0.154384 ; -0.000516 0.001671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000027 0.000081 0.291885 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.829406 ; 0.000000 ; -0.079657 0.144413 0.000000 0.154384 ; -0.000516 0.001671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000028 0.000085 0.293997 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.829406 ; 0.000000 ; -0.039829 0.368539 0.000000 0.154384 ; -0.000516 0.001671 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000032 0.000094 0.297052 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.233303 ; 0.000000 ; -0.039829 0.368539 -0.054785 0.119486 ; -0.001881 0.003684 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000037 0.000101 0.300207 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.276887 ; 0.000000 ; -0.039829 0.368539 -0.054785 0.119486 ; -0.001733 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000041 0.000108 0.303377 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.276887 ; 0.000000 ; -0.039829 0.368539 -0.054785 0.119486 ; -0.001733 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000045 0.000115 0.306565 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.276887 ; 0.000000 ; -0.039829 0.368539 -0.054785 0.119486 ; -0.001733 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000067 0.000154 0.323952 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.276887 ; 0.000000 ; -0.019887 0.383495 -0.014902 0.219140 ; -0.001733 0.003000 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000070 0.000164 0.327513 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.396952 ; 0.000000 ; -0.019887 0.383495 -0.044814 0.244013 ; -0.001254 0.004330 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000072 0.000174 0.331284 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.517016 ; 0.000000 ; -0.019887 0.383495 -0.044814 0.244013 ; -0.000848 0.004292 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000074 0.000184 0.335058 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.517016 ; 0.000000 ; -0.019887 0.383495 -0.044814 0.244013 ; -0.000848 0.004292 ; 0.000000 0.000000 ; 0.000000 0.000000
