lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000561 0.000026 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.141916 ; 0.000000 ; 0.129457 -0.054785 -0.034843 0.084643 ; 0.002249 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000567 0.000029 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.141916 ; 0.000000 ; 0.129457 -0.054785 -0.034843 0.084643 ; 0.002249 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000572 0.000031 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.141916 ; 0.000000 ; 0.064701 -0.069687 -0.034843 0.084643 ; 0.002249 0.000949 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000577 0.000032 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.032658 ; 0.000000 ; 0.064701 -0.069687 -0.064701 0.129457 ; 0.001880 0.000342 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000583 0.000033 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130990 ; 0.000000 ; 0.064701 -0.069687 -0.064701 0.129457 ; 0.002433 0.000456 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000588 0.000034 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130990 ; 0.000000 ; 0.064701 -0.069687 -0.064701 0.129457 ; 0.002433 0.000456 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000594 0.000035 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130990 ; 0.000000 ; 0.064701 -0.069687 -0.064701 0.129457 ; 0.002433 0.000456 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000600 0.000036 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130990 ; 0.000000 ; 0.094614 -0.034843 -0.069687 0.119486 ; 0.002433 0.000456 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000606 0.000038 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130870 ; 0.000000 ; 0.094614 -0.034843 -0.069687 0.119486 ; 0.002359 0.000835 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000612 0.000040 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.130870 ; 0.000000 ; 0.094614 -0.034843 -0.069687 0.119486 ; 0.002359 0.000835 ; 0.000000 0.000000 ; 0.000000 0.000000
