lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000124 0.277424 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -2.281347 ; 0.000000 ; 6.106011 6.534320 6.604061 6.559247 ; 0.005790 0.197822 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000036 0.282349 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.840452 ; 0.000000 ; 6.270366 6.489506 6.419764 6.499477 ; -0.003504 0.196759 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; -0.000009 0.290871 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.654952 ; 0.000000 ; 6.499477 6.350078 6.464633 6.549276 ; -0.001032 0.195810 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000080 0.300979 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.141916 ; 0.000000 ; 7.102112 6.265380 6.718617 6.509448 ; 0.001733 0.197215 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000297 0.310457 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -2.292153 ; 0.000000 ; 6.504462 6.614032 6.638905 6.813231 ; 0.004647 0.202798 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000319 0.319585 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.622175 ; 0.000000 ; 6.599076 6.539305 6.484520 6.579134 ; 0.000480 0.202608 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000374 0.329231 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.076361 ; 0.000000 ; 7.117068 6.604061 6.773402 6.768416 ; 0.001143 0.199797 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000569 0.340027 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.135211 ; 0.000000 ; 7.156897 6.868016 6.743489 6.668817 ; 0.003762 0.207887 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000651 0.350797 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.796749 ; 0.000000 ; 6.205610 7.112083 6.758446 6.738559 ; 0.001586 0.209216 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000298 0.361300 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 1.943005 ; 0.000000 ; 6.992542 6.569218 6.534320 6.738559 ; -0.006860 0.204469 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000519 0.371025 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.480138 ; 0.000000 ; 6.738559 6.604061 6.758446 6.589105 ; 0.004647 0.204621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000508 0.380203 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.665878 ; 0.000000 ; 6.594090 6.927786 6.619018 6.773402 ; -0.000258 0.203519 ; 0.000000 0.000000 ; 0.000000 0.000000
