lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000056 0.008453 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.229203 ; 0.000000 ; 3.740283 3.740283 3.770196 3.665612 ; -0.000774 0.113741 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000052 0.009062 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.229203 ; 0.000000 ; 3.959424 3.879766 4.108877 4.029165 ; -0.000774 0.113741 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000052 0.009629 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.349268 ; 0.000000 ; 3.959424 3.879766 4.108877 4.029165 ; -0.000000 0.121830 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000052 0.010260 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.349268 ; 0.000000 ; 4.437587 4.223378 4.332948 4.113808 ; -0.000000 0.121830 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000051 0.010915 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.949711 ; 0.000000 ; 4.437587 4.223378 4.332948 4.113808 ; -0.000037 0.130451 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000051 0.011563 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.949711 ; 0.000000 ; 4.611859 4.492372 4.706527 4.357875 ; -0.000037 0.130451 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000043 0.012250 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.025952 ; 0.000000 ; 4.611859 4.492372 4.706527 4.357875 ; -0.001697 0.138540 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000034 0.012945 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.025952 ; 0.000000 ; 4.870882 4.591972 4.706527 4.357875 ; -0.001697 0.138540 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000032 0.013662 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.375340 ; 0.000000 ; 4.870882 4.591972 4.661658 4.651742 ; -0.000516 0.141275 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000042 0.014374 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.632981 ; 0.000000 ; 4.870882 4.591972 4.661658 4.651742 ; 0.001992 0.143174 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000052 0.015114 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.632981 ; 0.000000 ; 5.065095 4.681600 5.154723 4.801141 ; 0.001992 0.143174 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000053 0.015845 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.615349 ; 0.000000 ; 5.065095 4.681600 5.154723 4.801141 ; 0.000222 0.150237 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000054 0.016613 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.615349 ; 0.000000 ; 5.368933 5.005325 5.219479 5.119880 ; 0.000222 0.150237 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000064 0.017392 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.015146 ; 0.000000 ; 5.368933 5.005325 5.219479 5.119880 ; 0.001955 0.157947 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000074 0.018187 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.015146 ; 0.000000 ; 5.109909 5.194607 5.553175 5.393805 ; 0.001955 0.157947 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000064 0.019008 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.163648 ; 0.000000 ; 5.109909 5.194607 5.553175 5.393805 ; -0.001807 0.162048 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000055 0.019821 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.163648 ; 0.000000 ; 5.752428 5.458561 5.553175 5.363947 ; -0.001807 0.162048 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000059 0.020669 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.058730 ; 0.000000 ; 5.752428 5.458561 5.553175 5.363947 ; 0.000775 0.168732 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000063 0.021514 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.058730 ; 0.000000 ; 5.583088 5.822115 5.817129 5.503375 ; 0.000775 0.168732 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000042 0.022406 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.163768 ; 0.000000 ; 5.583088 5.822115 5.817129 5.503375 ; -0.004093 0.173289 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000022 0.023268 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.163768 ; 0.000000 ; 5.583088 5.822115 5.817129 5.503375 ; -0.004093 0.173289 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000001 0.024139 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.163768 ; 0.000000 ; 6.031284 5.493404 5.847042 5.976499 ; -0.004093 0.173289 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000026 0.025021 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.895082 ; 0.000000 ; 6.031284 5.493404 5.847042 5.976499 ; 0.004942 0.178036 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000050 0.025915 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.895082 ; 0.000000 ; 6.041255 6.066182 5.837071 6.006411 ; 0.004942 0.178036 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000056 0.026834 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.425749 ; 0.000000 ; 6.041255 6.066182 5.837071 6.006411 ; 0.001069 0.182632 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000061 0.027748 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.425749 ; 0.000000 ; 5.832085 5.901827 5.971568 5.876900 ; 0.001069 0.182632 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000055 0.028675 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.054629 ; 0.000000 ; 5.832085 5.901827 5.971568 5.876900 ; -0.001217 0.179822 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000049 0.029558 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.054629 ; 0.000000 ; 6.315180 6.200624 6.076153 6.195639 ; -0.001217 0.179822 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000058 0.030503 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.010806 ; 0.000000 ; 6.315180 6.200624 6.076153 6.195639 ; 0.001733 0.189012 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000066 0.031457 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.010806 ; 0.000000 ; 6.663832 6.504462 6.619018 6.180737 ; 0.001733 0.189012 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000056 0.032451 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.309785 ; 0.000000 ; 6.663832 6.504462 6.619018 6.180737 ; -0.002065 0.198013 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000045 0.033458 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.309785 ; 0.000000 ; 6.663832 6.504462 6.619018 6.180737 ; -0.002065 0.198013 ; 0.000000 0.000000 ; 0.000000 0.000000
