lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000539 0.231232 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.026072 ; 0.000000 ; 6.678788 6.499477 6.524349 6.783373 ; 0.003024 0.197557 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000617 0.236102 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.174694 ; 0.000000 ; 6.917815 7.007498 6.524349 6.708646 ; 0.003246 0.201962 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000634 0.241075 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.600443 ; 0.000000 ; 6.574203 6.668817 6.584120 6.628989 ; 0.000701 0.207089 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000625 0.245920 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.305684 ; 0.000000 ; 6.479535 6.668817 6.614032 6.464633 ; -0.000368 0.201735 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000565 0.250725 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.087407 ; 0.000000 ; 6.619018 6.624003 6.026353 6.086069 ; -0.002508 0.199988 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000575 0.255370 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.141796 ; 0.000000 ; 6.653861 6.031284 6.743489 6.624003 ; 0.000405 0.193342 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000664 0.260143 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.626275 ; 0.000000 ; 6.962629 6.882972 6.424750 6.275351 ; 0.003725 0.198658 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000652 0.265005 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -0.501990 ; 0.000000 ; 6.524349 6.046240 6.384921 6.195639 ; -0.000516 0.202418 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000703 0.269615 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.462627 ; 0.000000 ; 6.539305 6.982571 6.524349 6.479535 ; 0.002139 0.191784 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000617 0.274475 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.873230 ; 0.000000 ; 6.285322 6.265380 6.285322 6.544291 ; -0.003614 0.202266 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000666 0.279124 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.523842 ; 0.000000 ; 6.803260 6.848129 6.753460 6.823201 ; 0.002065 0.193531 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000671 0.284111 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.251175 ; 0.000000 ; 6.838158 6.310194 6.609047 6.414779 ; 0.000184 0.207621 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000730 0.288904 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; -1.582812 ; 0.000000 ; 6.614032 6.539305 6.514433 6.663832 ; 0.002471 0.199569 ; 0.000000 0.000000 ; 0.000000 0.000000
