lidarPos ; odometryPos ; filteredPos ; opponentPos ; opponentFilteredPos ; measuredOmega ; filteredOmega ; wheelSpeeds ; measuredSpeed ; filteredMeasuredSpeed
0.000000 0.000000 0.000000 ; 0.000362 -0.000033 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.076481 ; 0.000000 ; 0.014902 0.000000 0.000000 0.049800 ; 0.000479 0.000493 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000363 -0.000032 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.076481 ; 0.000000 ; 0.014902 0.000000 0.000000 0.049800 ; 0.000479 0.000493 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000364 -0.000031 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.076481 ; 0.000000 ; 0.014902 0.000000 0.000000 0.049800 ; 0.000479 0.000493 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000366 -0.000030 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.076481 ; 0.000000 ; 0.014902 0.000000 0.000000 0.049800 ; 0.000479 0.000493 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000367 -0.000029 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.076481 ; 0.000000 ; 0.009916 0.000000 -0.024872 0.029858 ; 0.000479 0.000493 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000368 -0.000028 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098213 ; 0.000000 ; 0.009916 0.000000 -0.024872 0.029858 ; 0.000479 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000369 -0.000028 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098213 ; 0.000000 ; 0.009916 0.000000 -0.024872 0.029858 ; 0.000479 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000370 -0.000028 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098213 ; 0.000000 ; 0.009916 0.000000 -0.024872 0.029858 ; 0.000479 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000371 -0.000028 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098213 ; 0.000000 ; 0.009916 0.000000 -0.024872 0.029858 ; 0.000479 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000372 -0.000027 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.098213 ; 0.000000 ; 0.019887 -0.004931 -0.009916 0.039829 ; 0.000479 0.000114 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000374 -0.000026 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.054629 ; 0.000000 ; 0.019887 -0.004931 -0.009916 0.039829 ; 0.000552 0.000342 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000375 -0.000026 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.054629 ; 0.000000 ; 0.019887 -0.004931 -0.009916 0.039829 ; 0.000552 0.000342 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000376 -0.000025 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.054629 ; 0.000000 ; 0.019887 -0.004931 -0.009916 0.039829 ; 0.000552 0.000342 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000378 -0.000024 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.054629 ; 0.000000 ; 0.009916 -0.004931 -0.024872 0.044814 ; 0.000552 0.000342 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000379 -0.000024 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120185 ; 0.000000 ; 0.009916 -0.004931 -0.024872 0.044814 ; 0.000626 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000381 -0.000023 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120185 ; 0.000000 ; 0.009916 -0.004931 -0.024872 0.044814 ; 0.000626 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000382 -0.000023 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120185 ; 0.000000 ; 0.009916 -0.004931 -0.024872 0.044814 ; 0.000626 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
0.000000 0.000000 0.000000 ; 0.000383 -0.000022 0.000000 ; 0.000000 0.000000 0.000000 ; 0.000000 0.000000 ; 0.000000 0.000000 ; 0.120185 ; 0.000000 ; 0.009916 -0.004931 -0.024872 0.044814 ; 0.000626 0.000190 ; 0.000000 0.000000 ; 0.000000 0.000000
